Country,Standard,Offset,Zone,City,State
Denmark,Romance Standard Time,+01:00,Brussels~Copenhagen~Madrid~Paris,Aalborg,
Denmark,Romance Standard Time,+01:00,Brussels~Copenhagen~Madrid~Paris,Aarhus,
Canada,Pacific Standard Time,-08:00,Pacific Time (US & Canada); Tijuana,Abbotsford,BC
United Kingdom,GMT Standard Time,0,Dublin~Edinburgh~Lisbon~London,Aberdeen,
Cote d'Ivoire,Greenwich Standard Time,0,Greenwich Mean Time,Abidjan,
United Arab Emirates,Arabian Standard Time,+04:00,Abu Dhabi~Muscat,Abu Dhabi,
Nigeria,W. Central Africa Standard Time,+01:00,West Central Africa,Abuja,
Mexico,Mexico Standard Time,-06:00,Guadalajara~Mexico City~Monterrey,Acapulco,
Ghana,Greenwich Standard Time,0,Greenwich Mean Time,Accra,
United States,Hawaii-Aleutian Standard Time,-10:00,Adak,Adak,AK
Ethiopia,E. Africa Standard Time,+03:00,Nairobi,Addis Ababa,
Australia,Cen. Australia Standard Time,+09:30,Adelaide,Adelaide,
Yemen,Arab Standard Time,+03:00,Kuwait~Riyadh,Aden,
India,India Standard Time,+05:30,Chennai~Kolkata~Mumbai~New Delhi,Agra,
India,India Standard Time,+05:30,Chennai~Kolkata~Mumbai~New Delhi,Ahmedabad,
Japan,Tokyo Standard Time,+09:00,Osaka~Sapporo~Tokyo,Akita,
Canada,Mountain Standard Time,-07:00,Mountain Time (US & Canada),Aklavik,NT
United States,Eastern Standard Time,-05:00,Eastern Time (US & Canada),Akron,OH
Mexico,Quintana Roo~ Mexico,-05:00,Quintana Roo~Mexico,Akumal,
Saudi Arabia,Arab Standard Time,+03:00,Kuwait~Riyadh,Al Ahsa,
United Arab Emirates,Arabian Standard Time,+04:00,Abu Dhabi~Muscat,Al Ain,
Yemen,Arab Standard Time,+03:00,Kuwait~Riyadh,Al Bayda',
Yemen,Arab Standard Time,+03:00,Kuwait~Riyadh,Al Hudaydah,
Kuwait,Arab Standard Time,+03:00,Kuwait~Riyadh,Al Jahra,
Turkey,Turkey Standard Time,+02:00,Turkey,Alacati,
Costa Rica,Central America Standard Time,-06:00,Central America,Alajuela,
United States,Eastern Standard Time,-05:00,Eastern Time (US & Canada),Albany,NY
Bulgaria,FLE Standard Time,+02:00,Helsinki~Riga~Sofia~Tallinn~Vilnius,Albena,
United States,Mountain Standard Time,-07:00,Mountain Time (US & Canada),Albuquerque,NM
Australia,AUS Eastern Standard Time,+10:00,Canberra~Melbourne~Sydney,Albury,
Canada,Eastern Standard Time,-05:00,Eastern Time (US & Canada),Alert,NU
Egypt,Egypt Standard Time,+02:00,Cairo,Alexandria,
Algeria,W. Central Africa Standard Time,+01:00,West Central Africa,Algiers,
Spain,Romance Standard Time,+01:00,Brussels~Copenhagen~Madrid~Paris,Alicante,
Australia,AUS Central Standard Time,+09:30,Darwin,Alice Springs,
Kazakhstan,Central Asia Standard Time,+06:00,Central Asia,Almaty,
Spain,Romance Standard Time,+01:00,Brussels~Copenhagen~Madrid~Paris,Almeria,
Niue,Midway Island Standard Time,-11:00,Midway Island,Alofi,
Russia,Crimean Standard Time,+03:00,Crimea,Alupka,
Ecuador,SA Pacific Standard Time,-05:00,Bogota~Lima~Quito,Ambato,
Indonesia,Tokyo Standard Time,+09:00,Osaka~Sapporo~Tokyo,Ambon,
Netherlands,W. Europe Standard Time,+01:00,Amsterdam~Berlin~Bern~Rome~Stockholm~Vienna,Amersfoort,
Canada,Atlantic Standard Time,-04:00,Atlantic Time (Canada),Amherst,NS
France,Romance Standard Time,+01:00,Brussels~Copenhagen~Madrid~Paris,Amiens,
Jordan,Jordan Standard Time,+03:00,Jordan,Amman,
India,India Standard Time,+05:30,Chennai~Kolkata~Mumbai~New Delhi,Amritsar,
Netherlands,W. Europe Standard Time,+01:00,Amsterdam~Berlin~Bern~Rome~Stockholm~Vienna,Amsterdam,
Russia,Petropavlovsk Standard Time,+12:00,Petropavlovsk,Anadyr,
Russia,Russian Standard Time,+03:00,Moscow~St. Petersburg~Volgograd,Anapa,
United States,Alaskan Standard Time,-09:00,Alaska,Anchorage,AK
Italy,W. Europe Standard Time,+01:00,Amsterdam~Berlin~Bern~Rome~Stockholm~Vienna,Ancona,
Andorra,Romance Standard Time,+01:00,Brussels~Copenhagen~Madrid~Paris,Andorra la Vella,
Turkey,Turkey Standard Time,+02:00,Turkey,Ankara,
United States,Eastern Standard Time,-05:00,Eastern Time (US & Canada),Annapolis,MD
China,China Standard Time,+08:00,Beijing~Chongqing~Hong Kong~Urumqi,Anshan,
Madagascar,E. Africa Standard Time,+03:00,Nairobi,Antananarivo,
Guatemala,Guatemala Standard Time,-06:00,Guatemala,Antigua,
Belgium,Romance Standard Time,+01:00,Brussels~Copenhagen~Madrid~Paris,Antwerp,
Samoa,Samoa Standard Time,-13:00,Samoa,Apia,
Jordan,Jordan Standard Time,+03:00,Jordan,Aqaba,
Romania,FLE Standard Time,+02:00,Helsinki~Riga~Sofia~Tallinn~Vilnius,Arad,
Papua New Guinea,Bougainville Standard Time,+11:00,Bougainville Island,Arawa,
Peru,SA Pacific Standard Time,-05:00,Bogota~Lima~Quito,Arequipa,
Chile,Chile Standard Time,-03:00,Chile,Arica,
Russia,Russian Standard Time,+03:00,Moscow~St. Petersburg~Volgograd,Arkhangelsk,
Ireland,GMT Standard Time,0,Dublin~Edinburgh~Lisbon~London,Arklow,
Canada,Pacific Standard Time,-08:00,Pacific Time (US & Canada); Tijuana,Armstrong,BC
Brazil,E. South America Standard Time,-03:00,Brasilia,Arraial do Cabo,
Russia,Russian Standard Time,+03:00,Moscow~St. Petersburg~Volgograd,Arzamas,
Israel,Israel Standard Time,+02:00,Tel Aviv~Jerusalem,Ashkelon,
Turkmenistan,West Asia Standard Time,+05:00,Tashkent,Ashkhabad,
United States,Pacific Standard Time,-08:00,Pacific Time (US & Canada); Tijuana,Ashland,OR
Eritrea,Arab Standard Time,+03:00,Kuwait~Riyadh,Asmara,
Kazakhstan,Central Asia Standard Time,+06:00,Central Asia,Astana,
Russia,Astrakhan Standard Time,+03:00,Astrakhan,Astrakhan,
Paraguay,Paraguay Standard Time,-04:00,Paraguay,Asuncion,
Greece,FLE Standard Time,+02:00,Helsinki~Riga~Sofia~Tallinn~Vilnius,Athens,
United States,Eastern Standard Time,-05:00,Eastern Time (US & Canada),Atlanta,GA
New Zealand,New Zealand Standard Time,+12:00,Auckland~Wellington,Auckland,
United States,Eastern Standard Time,-05:00,Eastern Time (US & Canada),Augusta,ME
India,India Standard Time,+05:30,Chennai~Kolkata~Mumbai~New Delhi,Aurangabad,
United States,Central Standard Time,-06:00,Central Time (US & Canada),Austin,TX
Cook Islands,Hawaiian Standard Time,-10:00,Hawaii,Avarua,
Portugal,GMT Standard Time,0,Dublin~Edinburgh~Lisbon~London,Aveiro,
United Kingdom,GMT Standard Time,0,Dublin~Edinburgh~Lisbon~London,Aylesbury,
Jordan,Jordan Standard Time,+03:00,Jordan,Az Zarqa,
Romania,FLE Standard Time,+02:00,Helsinki~Riga~Sofia~Tallinn~Vilnius,Bacau,
Philippines,Singapore Standard Time,+08:00,Kuala Lumpur~Singapore,Bacolod,
Spain,Romance Standard Time,+01:00,Brussels~Copenhagen~Madrid~Paris,Badajoz,
Germany,W. Europe Standard Time,+01:00,Amsterdam~Berlin~Bern~Rome~Stockholm~Vienna,Baden-Baden,
Iraq,Arabic Standard Time,+03:00,Baghdad,Baghdad,
Pakistan,Pakistan Standard Time,+05:00,Pakistan,Bahawalpur,
Argentina,Argentina Standard Time,-03:00,Argentina,Bahia Blanca,
Mexico,US Mountain Standard Time,-07:00,Arizona,Bahia Kino,
Azerbaijan,Baku Standard Time,+04:00,Baku,Baku,
Philippines,Singapore Standard Time,+08:00,Kuala Lumpur~Singapore,Balabag,
Philippines,Singapore Standard Time,+08:00,Kuala Lumpur~Singapore,Balanga,
Indonesia,Singapore Standard Time,+08:00,Kuala Lumpur~Singapore,Balikpapan,
Moldova,Moldova Standard Time,+02:00,Moldova,Balti,
United States,Eastern Standard Time,-05:00,Eastern Time (US & Canada),Baltimore,MD
Mali,Greenwich Standard Time,0,Greenwich Mean Time,Bamako,
Brunei,Singapore Standard Time,+08:00,Kuala Lumpur~Singapore,Bandar Seri Begawan,
Bangladesh,Bangladesh Standard Time,+06:00,Bangladesh,Bandarban,
Indonesia,SE Asia Standard Time,+07:00,Bangkok~Hanoi~Jakarta,Bandung,
Canada,Mountain Standard Time,-07:00,Mountain Time (US & Canada),Banff,AB
India,India Standard Time,+05:30,Chennai~Kolkata~Mumbai~New Delhi,Bangalore,
Thailand,SE Asia Standard Time,+07:00,Bangkok~Hanoi~Jakarta,Bangkok,
Central African Republic,W. Central Africa Standard Time,+01:00,West Central Africa,Bangui,
Bosnia and Herzegovina,Central European Standard Time,+01:00,Sarajevo~Skopje~Warsaw~Zagreb,Banja Luka,
Gambia,Greenwich Standard Time,0,Greenwich Mean Time,Banjul,
China,China Standard Time,+08:00,Beijing~Chongqing~Hong Kong~Urumqi,Baotou,
Spain,W. Europe Standard Time,+01:00,Amsterdam~Berlin~Bern~Rome~Stockholm~Vienna,Barcelona,
Venezuela,Venezuela Standard Time,#VALUE!,Venezuela,Barcelona,
India,India Standard Time,+05:30,Chennai~Kolkata~Mumbai~New Delhi,Bareilly,
Italy,W. Europe Standard Time,+01:00,Amsterdam~Berlin~Bern~Rome~Stockholm~Vienna,Bari,
Russia,Barnaul Standard Time,+06:00,Barnaul,Barnaul,
Canada,Eastern Standard Time,-05:00,Eastern Time (US & Canada),Barrie,ON
Saint Kitts and Nevis,SA Western Standard Time,-04:00,La Paz,Basseterre,
Guadeloupe,SA Western Standard Time,-04:00,La Paz,Basse-Terre,
United States,Central Standard Time,-06:00,Central Time (US & Canada),Baton Rouge,LA
China,China Standard Time,+08:00,Beijing~Chongqing~Hong Kong~Urumqi,Beijing,
Lebanon,Lebanon Standard Time,+02:00,Beirut,Beirut,
Portugal,GMT Standard Time,0,Dublin~Edinburgh~Lisbon~London,Beja,
Tunisia,W. Central Africa Standard Time,+01:00,West Central Africa,Beja,
United Kingdom,GMT Standard Time,0,Dublin~Edinburgh~Lisbon~London,Belfast,
Russia,Russian Standard Time,+03:00,Moscow~St. Petersburg~Volgograd,Belgorod,
Serbia,Central Europe Standard Time,+01:00,Belgrade~Bratislava~Budapest~Ljubljana~Prague,Belgrade,
Belize,Central America Standard Time,-06:00,Central America,Belize City,
United States,Pacific Standard Time,-08:00,Pacific Time (US & Canada); Tijuana,Bellevue,WA
Belize,Central America Standard Time,-06:00,Central America,Belmopan,
Brazil,E. South America Standard Time,-03:00,Brasilia,Belo Horizonte,
Bulgaria,FLE Standard Time,+02:00,Helsinki~Riga~Sofia~Tallinn~Vilnius,Belogradchik,
Italy,W. Europe Standard Time,+01:00,Amsterdam~Berlin~Bern~Rome~Stockholm~Vienna,Benevento,
China,China Standard Time,+08:00,Beijing~Chongqing~Hong Kong~Urumqi,Benxi,
Norway,W. Europe Standard Time,+01:00,Amsterdam~Berlin~Bern~Rome~Stockholm~Vienna,Bergen,
Germany,W. Europe Standard Time,+01:00,Amsterdam~Berlin~Bern~Rome~Stockholm~Vienna,Berlin,
Switzerland,W. Europe Standard Time,+01:00,Amsterdam~Berlin~Bern~Rome~Stockholm~Vienna,Bern,
France,Romance Standard Time,+01:00,Brussels~Copenhagen~Madrid~Paris,Beziers,
India,India Standard Time,+05:30,Chennai~Kolkata~Mumbai~New Delhi,Bhopal,
India,India Standard Time,+05:30,Chennai~Kolkata~Mumbai~New Delhi,Bhubaneswar,
Spain,Romance Standard Time,+01:00,Brussels~Copenhagen~Madrid~Paris,Bilbao,
United States,Mountain Standard Time,-07:00,Mountain Time (US & Canada),Billings,MT
Nepal,Nepal Standard Time,+05:45,Kathmandu,Biratchowk,
United Kingdom,GMT Standard Time,0,Dublin~Edinburgh~Lisbon~London,Birmingham,
United States,Central Standard Time,-06:00,Central Time (US & Canada),Birmingham,AL
Kyrgyzstan,Central Asia Standard Time,+06:00,Central Asia,Bishkek,
United States,Central Standard Time,-06:00,Central Time (US & Canada),Bismarck,ND
Guinea-Bissau,Greenwich Standard Time,0,Greenwich Mean Time,Bissau,
Tunisia,W. Central Africa Standard Time,+01:00,West Central Africa,Bizerte,
Spain,Romance Standard Time,+01:00,Brussels~Copenhagen~Madrid~Paris,Blanes,
Malawi,South Africa Standard Time,+02:00,Harare~Pretoria,Blantyre,
United Kingdom,GMT Standard Time,0,Dublin~Edinburgh~Lisbon~London,Blantyre-Hamilton,
South Africa,South Africa Standard Time,+02:00,Harare~Pretoria,Bloemfontein,
United States,Eastern Standard Time,-05:00,Eastern Time (US & Canada),Boca Raton,FL
Turkey,Turkey Standard Time,+02:00,Turkey,Bodrum,
Colombia,SA Pacific Standard Time,-05:00,Bogota~Lima~Quito,Bogota,
United States,Mountain Standard Time,-07:00,Mountain Time (US & Canada),Boise,ID
Italy,W. Europe Standard Time,+01:00,Amsterdam~Berlin~Bern~Rome~Stockholm~Vienna,Bologna,
Germany,W. Europe Standard Time,+01:00,Amsterdam~Berlin~Bern~Rome~Stockholm~Vienna,Bonn,
France,Romance Standard Time,+01:00,Brussels~Copenhagen~Madrid~Paris,Bordeaux,
United States,Eastern Standard Time,-05:00,Eastern Time (US & Canada),Boston,MA
Portugal,GMT Standard Time,0,Dublin~Edinburgh~Lisbon~London,Braganca,
Brazil,E. South America Standard Time,-03:00,Brasilia,Brasilia,
Slovakia,Central Europe Standard Time,+01:00,Belgrade~Bratislava~Budapest~Ljubljana~Prague,Bratislava,
Congo,W. Central Africa Standard Time,+01:00,West Central Africa,Brazzaville,
Germany,W. Europe Standard Time,+01:00,Amsterdam~Berlin~Bern~Rome~Stockholm~Vienna,Bremen,
France,Romance Standard Time,+01:00,Brussels~Copenhagen~Madrid~Paris,Brest,
Barbados,SA Western Standard Time,-04:00,La Paz,Bridgetown,
Italy,W. Europe Standard Time,+01:00,Amsterdam~Berlin~Bern~Rome~Stockholm~Vienna,Brindisi,
Australia,E. Australia Standard Time,+10:00,Brisbane,Brisbane,
United Kingdom,GMT Standard Time,0,Dublin~Edinburgh~Lisbon~London,Bristol,
Czech Republic,Central Europe Standard Time,+01:00,Belgrade~Bratislava~Budapest~Ljubljana~Prague,Brno,
Belgium,Romance Standard Time,+01:00,Brussels~Copenhagen~Madrid~Paris,Brussels,
Romania,FLE Standard Time,+02:00,Helsinki~Riga~Sofia~Tallinn~Vilnius,Bucharest,
Hungary,Central Europe Standard Time,+01:00,Belgrade~Bratislava~Budapest~Ljubljana~Prague,Budapest,
United States,Pacific Standard Time,-08:00,Pacific Time (US & Canada); Tijuana,Buena Park,CA
Argentina,Argentina Standard Time,-03:00,Argentina,Buenos Aires,
United States,Eastern Standard Time,-05:00,Eastern Time (US & Canada),Buffalo,NY
Burundi,South Africa Standard Time,+02:00,Harare~Pretoria,Bujumbura,
Spain,Romance Standard Time,+01:00,Brussels~Copenhagen~Madrid~Paris,Burgos,
Thailand,SE Asia Standard Time,+07:00,Bangkok~Hanoi~Jakarta,Buri Ram,
Canada,Pacific Standard Time,-08:00,Pacific Time (US & Canada); Tijuana,Burnaby,BC
Turkey,Turkey Standard Time,+02:00,Turkey,Bursa,
Korea~South,Korea Standard Time,+09:00,Seoul,Busan,
Malaysia,Singapore Standard Time,+08:00,Kuala Lumpur~Singapore,Butterworth,
Mexico,Mexico Standard Time 2,-07:00,Chihuahua~La Paz~Mazatlan,Cabo San Lucas,
Australia,E. Australia Standard Time,+10:00,Brisbane,Cairns,
Egypt,Egypt Standard Time,+02:00,Cairo,Cairo,
Nigeria,W. Central Africa Standard Time,+01:00,West Central Africa,Calabar,
Canada,Mountain Standard Time,-07:00,Mountain Time (US & Canada),Calgary,AB
Brazil,E. South America Standard Time,-03:00,Brasilia,Campinas,
Australia,AUS Eastern Standard Time,+10:00,Canberra~Melbourne~Sydney,Canberra,
Mexico,Quintana Roo~ Mexico,-05:00,Quintana Roo~Mexico,Cancun,
Canada,Mountain Standard Time,-07:00,Mountain Time (US & Canada),Canmore,AB
France,Romance Standard Time,+01:00,Brussels~Copenhagen~Madrid~Paris,Cannes,
United States,Pacific Standard Time,-08:00,Pacific Time (US & Canada); Tijuana,Cannon Beach,OR
South Africa,South Africa Standard Time,+02:00,Harare~Pretoria,Cape Town,
United States,Pacific Standard Time,-08:00,Pacific Time (US & Canada); Tijuana,Capitola,CA
Venezuela,Venezuela Standard Time,#VALUE!,Venezuela,Caracas,
France,Romance Standard Time,+01:00,Brussels~Copenhagen~Madrid~Paris,Carcassonne,
United Kingdom,GMT Standard Time,0,Dublin~Edinburgh~Lisbon~London,Cardiff,
United States,Pacific Standard Time,-08:00,Pacific Time (US & Canada); Tijuana,Carson City,NV
Spain,Romance Standard Time,+01:00,Brussels~Copenhagen~Madrid~Paris,Cartagena,
Morocco,Morocco Standard Time,0,Morocco,Casablanca,
Portugal,GMT Standard Time,0,Dublin~Edinburgh~Lisbon~London,Castelo Branco,
Ireland,GMT Standard Time,0,Dublin~Edinburgh~Lisbon~London,Castlebar,
Saint Lucia,SA Western Standard Time,-04:00,La Paz,Castries,
Argentina,SA Eastern Standard Time,-03:00,Georgetown~South America Eastern Time,Catamarca,
Italy,W. Europe Standard Time,+01:00,Amsterdam~Berlin~Bern~Rome~Stockholm~Vienna,Catania,
Philippines,Singapore Standard Time,+08:00,Kuala Lumpur~Singapore,Catarman,
French Guiana,SA Eastern Standard Time,-03:00,Georgetown~South America Eastern Time,Cayenne,
Philippines,Singapore Standard Time,+08:00,Kuala Lumpur~Singapore,Cebu,
United States,Central Standard Time,-06:00,Central Time (US & Canada),Cedar Park,TX
United States,Central Standard Time,-06:00,Central Time (US & Canada),Champaign,IL
India,India Standard Time,+05:30,Chennai~Kolkata~Mumbai~New Delhi,Chandigarh,
United States,US Mountain Standard Time,-07:00,Arizona,Chandler,AZ
China,China Standard Time,+08:00,Beijing~Chongqing~Hong Kong~Urumqi,Changchun,
Greece,FLE Standard Time,+02:00,Helsinki~Riga~Sofia~Tallinn~Vilnius,Chania,
United States,Eastern Standard Time,-05:00,Eastern Time (US & Canada),Chantilly,VA
United States,Eastern Standard Time,-05:00,Eastern Time (US & Canada),Charleston,WV
Virgin Islands~U.S.,SA Western Standard Time,-04:00,La Paz,Charlotte Amalie,
United States,Eastern Standard Time,-05:00,Eastern Time (US & Canada),Charlotte,NC
Canada,Atlantic Standard Time,-04:00,Atlantic Time (Canada),Charlottetown,PE
United States,Eastern Standard Time,-05:00,Eastern Time (US & Canada),Chattanooga,TN
Russia,Ekaterinburg Standard Time,+05:00,Ekaterinburg,Chelyabinsk,
China,China Standard Time,+08:00,Beijing~Chongqing~Hong Kong~Urumqi,Chengdu,
India,India Standard Time,+05:30,Chennai~Kolkata~Mumbai~New Delhi,Chennai,
Russia,Russian Standard Time,+03:00,Moscow~St. Petersburg~Volgograd,Cherepovets,
Ukraine,Ukraine Standard Time,+02:00,Ukraine,Chernobyl,
India,India Standard Time,+05:30,Chennai~Kolkata~Mumbai~New Delhi,Cheruvathur,
Thailand,SE Asia Standard Time,+07:00,Bangkok~Hanoi~Jakarta,Chiang Mai,
United States,Central Standard Time,-06:00,Central Time (US & Canada),Chicago,IL
